paymentId,amount,payment_method_type,payment_method,Stripe_VISA_outcome,Stripe_MASTERCARD_outcome,Adyen_VISA_outcome,Adyen_MASTERCARD_outcome,Adyen_ACCEL_outcome,Adyen_STAR_outcome
PAY_1760533744535,464.04,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744537,962.21,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744538,672.74,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744539,112.12,['CARD'],['VISA'],success,success,success,success,success,fail
PAY_1760533744541,702.24,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744542,802.33,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744543,282.44,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744545,583.99,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744546,828.99,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744547,124.12,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744549,347.54,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744550,686.77,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744551,128.37,['CARD'],['MASTERCARD'],success,success,success,success,success,fail
PAY_1760533744553,693.08,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533744554,148.99,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533744555,321.21,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744557,879.08,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744558,706.79,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533744559,585.9,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744560,676.64,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744562,161.66,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,fail,success,success,success,success
PAY_1760533744563,802.9,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533744564,466.56,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744566,477.27,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,fail,success,success,success,success
PAY_1760533744567,781.72,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744568,883.27,['CARD'],['VISA'],success,success,success,success,fail,success
PAY_1760533744570,407.89,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,fail,success,success,success
PAY_1760533744571,277.58,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533744572,743.16,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,fail,success,success
PAY_1760533744574,976.29,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744575,230.39,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,fail,success,success
PAY_1760533744576,751.23,['CARD'],['MASTERCARD'],success,success,success,fail,success,success
PAY_1760533744578,177.27,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,fail,success,success
PAY_1760533744579,712.79,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744580,436.53,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,fail
PAY_1760533744581,18.66,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1760533744583,710.55,['CARD'],['MASTERCARD'],success,fail,success,success,success,success
PAY_1760533744584,620.27,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533744585,409.01,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744587,307.13,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744588,523.07,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,fail,success,success,fail,success
PAY_1760533744589,174.5,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744591,967.1,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744592,633.81,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744593,545.69,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744595,65.28,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744596,611.99,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744597,901.98,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533744598,11.27,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744600,921.91,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744601,577.23,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744602,354.6,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744604,949.26,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744605,718.83,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,fail,success,success
PAY_1760533744606,725.74,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744608,479.13,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744609,997.25,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744611,521.24,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744612,137.89,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533744613,743.76,['CARD'],['VISA'],success,success,success,fail,success,success
PAY_1760533744615,104.68,['CARD'],['VISA'],success,success,fail,success,success,success
PAY_1760533744616,364.38,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744617,575.32,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533744619,859.49,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744620,142.22,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533744621,734.17,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1760533744622,174.42,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533744624,818.79,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533744625,79.6,['CARD'],['MASTERCARD'],success,success,success,success,success,success
