paymentId,amount,payment_method_type,payment_method,Stripe_VISA_outcome,Stripe_MASTERCARD_outcome,Adyen_VISA_outcome,Adyen_MASTERCARD_outcome,Adyen_ACCEL_outcome,Adyen_STAR_outcome
PAY_1760533751273,559.21,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751274,672.09,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533751276,361.41,['CARD'],['MASTERCARD'],success,fail,success,success,fail,success
PAY_1760533751277,889.61,['CARD'],['VISA'],success,success,success,success,fail,success
PAY_1760533751278,915.73,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533751280,778.7,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751281,381.5,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751282,314.65,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751284,179.57,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533751285,835.48,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751286,266.02,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,fail,success,success,success
PAY_1760533751288,204.33,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533751289,15.83,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,fail,success,success
PAY_1760533751290,837.45,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,fail,success,success,success
PAY_1760533751291,736.44,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533751293,962.78,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533751294,809.35,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,fail
PAY_1760533751295,196.28,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751297,860.92,['CARD'],['VISA'],success,success,fail,fail,success,fail
PAY_1760533751298,7.71,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751299,648.67,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751301,786.13,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751302,158.97,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533751303,663.97,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533751305,172.02,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751306,341.83,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751307,179.28,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,fail,success,success
PAY_1760533751309,577.63,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533751310,181.86,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1760533751311,512.7,['CARD'],['VISA'],success,success,success,success,success,fail
PAY_1760533751313,95.1,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533751314,32.43,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751315,853.11,['CARD'],['VISA'],success,success,fail,success,success,success
PAY_1760533751316,668.29,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533751318,577.97,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1760533751319,462.83,['CARD'],['MASTERCARD'],success,success,success,success,success,success
