paymentId,amount,payment_method_type,payment_method,Stripe_VISA_outcome,Stripe_MASTERCARD_outcome,Adyen_VISA_outcome,Adyen_MASTERCARD_outcome,Adyen_ACCEL_outcome,Adyen_STAR_outcome,Checkout_VISA_outcome,Checkout_MASTERCARD_outcome,Checkout_ACCEL_outcome,Checkout_STAR_outcome
PAY_1761208721349,795.15,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208721350,538.35,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,fail,success
PAY_1761208721352,439.53,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208721353,39.19,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208721354,617.86,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208721356,409.84,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208721357,318.06,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,fail,success,success,success,success
PAY_1761208721358,954.6,['CARD'],"['VISA', 'ACCEL', 'STAR']",fail,success,success,success,success,success,success,success,success,success
PAY_1761208721360,505.45,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208721361,86.09,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208721362,308.81,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208721364,795.35,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,fail
PAY_1761208721365,747.45,['CARD'],['VISA'],success,success,success,fail,success,success,success,success,success,success
PAY_1761208721366,671.03,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,fail,success,success,success,success,success,success,success
PAY_1761208721368,30.62,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,fail,success
PAY_1761208721369,344.57,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,fail,success,success,success
