paymentId,amount,payment_method_type,payment_method,Stripe_VISA_outcome,Stripe_MASTERCARD_outcome,Adyen_VISA_outcome,Adyen_MASTERCARD_outcome,Adyen_ACCEL_outcome,Adyen_STAR_outcome
PAY_1761208697322,232.62,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1761208697323,477.58,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208697324,488.05,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208697326,470.57,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1761208697327,77.86,['CARD'],['MASTERCARD'],success,success,success,fail,success,success
PAY_1761208697328,383.87,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208697329,394.01,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208697331,361.39,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208697332,985.33,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208697333,48.28,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208697335,636.3,['CARD'],['MASTERCARD'],success,success,success,success,success,fail
PAY_1761208697336,126.63,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208697337,961.65,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208697339,146.19,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208697340,453.46,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1761208697341,419.75,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1761208697343,417.65,['CARD'],['MASTERCARD'],success,success,success,fail,success,success
PAY_1761208697344,453.83,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208697345,975.24,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1761208697346,869.07,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,fail,success,success
PAY_1761208697348,982.92,['CARD'],['VISA'],success,success,success,fail,success,success
PAY_1761208697349,247.38,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208697350,648.07,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208697352,643.47,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208697353,973.75,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
