paymentId,amount,payment_method_type,payment_method,Stripe_VISA_outcome,Stripe_MASTERCARD_outcome,Adyen_VISA_outcome,Adyen_MASTERCARD_outcome,Adyen_ACCEL_outcome,Adyen_STAR_outcome
PAY_1760533747899,372.27,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747901,566.31,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747902,260.71,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747903,544.49,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747905,737.16,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747906,681.71,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747907,170.54,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747909,861.25,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747910,56.63,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747911,343.49,['CARD'],['MASTERCARD'],success,success,success,fail,success,success
PAY_1760533747912,438.53,['CARD'],['MASTERCARD'],success,success,success,fail,success,success
PAY_1760533747914,941.91,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747915,650.82,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747916,873.26,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747918,11.49,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747919,980.49,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747920,327.46,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747922,707.15,['CARD'],['VISA'],success,fail,success,success,success,fail
PAY_1760533747923,788.98,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747924,747.94,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,fail
PAY_1760533747925,579.02,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747927,452.95,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747928,189.02,['CARD'],['MASTERCARD'],success,success,success,fail,success,success
PAY_1760533747929,592.92,['CARD'],['VISA'],success,success,success,fail,success,success
PAY_1760533747931,116.85,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747932,898.04,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747933,764.28,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747935,272.55,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1760533747936,162.5,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747937,546.28,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747939,527.07,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,fail,success,success,success,success
PAY_1760533747940,85.28,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747941,647.47,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,fail,success,success,fail
PAY_1760533747943,837.11,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747944,407.12,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747945,333.03,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747946,946.97,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747948,463.13,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747949,835.63,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747950,63.92,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747952,405.14,['CARD'],['VISA'],success,fail,success,success,success,success
PAY_1760533747953,335.06,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747954,292.78,['CARD'],"['VISA', 'ACCEL', 'STAR']",fail,success,success,success,success,fail
PAY_1760533747956,316.35,['CARD'],['VISA'],success,success,success,fail,success,success
PAY_1760533747957,813.5,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,fail
PAY_1760533747958,598.93,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747960,643.98,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747961,88.91,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747962,485.92,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,fail,success,fail,success
PAY_1760533747964,868.2,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,fail,success,success,success
PAY_1760533747965,266.5,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747966,145.09,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747967,416.19,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747969,98.74,['CARD'],['VISA'],success,success,success,fail,success,success
PAY_1760533747970,747.94,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747971,876.66,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747973,265.01,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747974,593.36,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747975,450.56,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747977,524.91,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747978,681.5,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,fail
PAY_1760533747979,292.86,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747981,574.83,['CARD'],['VISA'],success,success,success,success,fail,success
PAY_1760533747982,610.18,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747983,635.18,['CARD'],['VISA'],success,success,fail,success,success,fail
PAY_1760533747985,636.35,['CARD'],['VISA'],success,success,fail,success,fail,success
PAY_1760533747986,450.43,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533747987,983.95,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747989,730.71,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533747990,948.0,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747991,670.54,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747992,435.69,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,fail,success,success
PAY_1760533747994,993.21,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747995,802.06,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747996,776.86,['CARD'],['MASTERCARD'],success,success,success,fail,success,success
PAY_1760533747998,23.29,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533747999,227.06,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748000,298.96,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,fail,fail,success,fail
PAY_1760533748002,267.97,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748003,855.17,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533748004,305.36,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748006,655.76,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748007,171.54,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,fail,success,success,success
PAY_1760533748008,331.54,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748010,693.41,['CARD'],['MASTERCARD'],success,success,success,success,fail,success
PAY_1760533748011,500.64,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748012,459.2,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748014,677.22,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,fail,fail,success,success
PAY_1760533748015,792.58,['CARD'],['MASTERCARD'],fail,success,success,success,success,success
PAY_1760533748016,322.39,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748018,248.09,['CARD'],['VISA'],success,success,fail,success,success,success
PAY_1760533748019,601.3,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748020,239.54,['CARD'],['VISA'],success,success,fail,success,success,success
PAY_1760533748022,157.7,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533748023,334.92,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533748024,818.94,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,fail,success,fail,success
PAY_1760533748026,315.7,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748027,976.04,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748028,270.76,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748030,889.75,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533748031,842.3,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748032,435.73,['CARD'],['MASTERCARD'],success,success,success,success,fail,success
PAY_1760533748034,443.5,['CARD'],['VISA'],success,success,success,success,fail,success
PAY_1760533748035,557.28,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748036,842.74,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748038,76.42,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748039,576.83,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533748040,332.3,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748042,282.34,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748043,603.49,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748044,588.25,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748046,860.25,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748047,150.1,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748048,302.07,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748050,337.09,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748051,575.7,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533748052,307.19,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748054,223.53,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748055,318.38,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748056,814.96,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533748058,966.96,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533748059,136.88,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748060,771.69,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533748062,661.5,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748063,332.64,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533748064,142.22,['CARD'],['VISA'],success,success,success,success,fail,success
PAY_1760533748066,346.19,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748067,187.37,['CARD'],['VISA'],success,success,fail,success,success,success
PAY_1760533748068,249.02,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748070,310.93,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533748071,524.45,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533748073,983.85,['CARD'],['MASTERCARD'],success,success,success,success,success,fail
PAY_1760533748074,652.93,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1760533748075,905.26,['CARD'],['MASTERCARD'],success,success,fail,success,success,success
