paymentId,amount,payment_method_type,payment_method,Stripe_VISA_outcome,Stripe_MASTERCARD_outcome,Adyen_VISA_outcome,Adyen_MASTERCARD_outcome,Adyen_ACCEL_outcome,Adyen_STAR_outcome,Checkout_VISA_outcome,Checkout_MASTERCARD_outcome,Checkout_ACCEL_outcome,Checkout_STAR_outcome
PAY_1761208704151,911.9,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704152,912.64,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704153,501.04,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704155,941.56,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704156,987.06,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704157,948.12,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704159,880.66,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,fail,success,success,success,success
PAY_1761208704160,658.95,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704161,310.06,['CARD'],['VISA'],success,success,success,success,fail,success,success,success,success,success
PAY_1761208704162,993.46,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,fail,success,success,success,success,success
PAY_1761208704164,382.54,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,fail,success,success,success,success,success,success
PAY_1761208704165,820.17,['CARD'],"['VISA', 'ACCEL', 'STAR']",fail,success,success,success,success,success,success,success,success,success
PAY_1761208704166,895.45,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704168,165.62,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704169,24.61,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704170,552.19,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704172,250.58,['CARD'],['MASTERCARD'],success,success,success,success,success,fail,success,success,success,success
PAY_1761208704173,555.53,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704174,433.9,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704176,632.32,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704177,127.04,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704178,775.26,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704180,969.7,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704181,727.0,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,fail,success,success,success
PAY_1761208704182,416.68,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,fail,success
PAY_1761208704183,885.66,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704185,323.88,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,fail,success,success,success
PAY_1761208704186,141.9,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,fail,success
PAY_1761208704187,964.92,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704189,594.24,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,fail,success,success
PAY_1761208704190,273.45,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,fail,success
PAY_1761208704191,965.07,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,fail,success,success,success,success
PAY_1761208704193,882.61,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704194,68.78,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704195,143.13,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704197,484.33,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704198,800.86,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704199,955.6,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704200,933.65,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704202,933.92,['CARD'],"['VISA', 'ACCEL', 'STAR']",fail,success,success,success,success,success,success,success,success,success
PAY_1761208704203,49.83,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704204,268.59,['CARD'],['VISA'],success,success,success,success,success,success,success,fail,success,success
PAY_1761208704206,224.73,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704207,899.77,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704208,396.99,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704210,282.63,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704211,672.6,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704212,750.97,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,fail,success,success,success,success
PAY_1761208704214,455.32,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704215,77.7,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704217,212.15,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704218,755.3,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704219,238.54,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,fail,success,success
PAY_1761208704221,812.42,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704222,836.38,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704223,425.06,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704225,645.61,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704226,746.82,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704228,413.54,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704229,803.7,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704230,299.22,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704232,263.83,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,fail
PAY_1761208704233,641.27,['CARD'],['VISA'],success,success,fail,fail,success,success,success,success,success,success
PAY_1761208704234,198.89,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success,success,success,success,success
PAY_1761208704236,634.93,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704237,258.06,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,fail,success,success
PAY_1761208704239,439.71,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704240,69.84,['CARD'],"['VISA', 'ACCEL', 'STAR']",fail,success,success,success,success,success,success,success,success,success
PAY_1761208704241,569.56,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,fail
PAY_1761208704243,370.55,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704244,224.28,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704245,695.27,['CARD'],['MASTERCARD'],success,success,fail,success,success,success,success,success,fail,success
PAY_1761208704247,476.41,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704248,359.25,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761208704249,795.64,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761208704251,581.26,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,fail,success,success
PAY_1761208704252,381.89,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,fail
