paymentId,amount,payment_method_type,payment_method,Stripe_VISA_outcome,Stripe_MASTERCARD_outcome,Adyen_VISA_outcome,Adyen_MASTERCARD_outcome,Adyen_ACCEL_outcome,Adyen_STAR_outcome
PAY_1760533754666,5.74,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533754667,621.87,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,fail,fail
PAY_1760533754669,981.75,['CARD'],['MASTERCARD'],success,success,success,success,success,fail
PAY_1760533754670,719.75,['CARD'],['VISA'],success,success,fail,success,success,success
PAY_1760533754671,103.21,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533754673,545.51,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533754674,612.72,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533754675,364.34,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,fail,success,success
PAY_1760533754676,378.46,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533754678,296.68,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533754679,148.52,['CARD'],['MASTERCARD'],success,success,success,fail,fail,success
PAY_1760533754680,672.44,['CARD'],['VISA'],success,success,fail,fail,fail,success
PAY_1760533754682,379.75,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533754683,68.26,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533754684,257.14,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1760533754686,356.33,['CARD'],['MASTERCARD'],success,success,fail,success,success,success
PAY_1760533754687,808.01,['CARD'],['VISA'],success,success,success,success,success,fail
PAY_1760533754688,887.94,['CARD'],['VISA'],success,fail,success,fail,success,success
PAY_1760533754689,681.16,['CARD'],['MASTERCARD'],success,success,success,fail,success,success
PAY_1760533754691,405.76,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533754692,378.76,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1760533754693,652.81,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1760533754695,626.49,['CARD'],['VISA'],success,success,fail,success,success,success
PAY_1760533754696,744.12,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,fail,success,success,fail
PAY_1760533754697,739.45,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533754699,913.39,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,fail
PAY_1760533754700,837.46,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533754701,965.91,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,fail
PAY_1760533754703,455.77,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533754704,447.88,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533754705,341.08,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,fail
PAY_1760533754707,462.15,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1760533754708,74.96,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533754709,736.99,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,fail,fail
PAY_1760533754711,627.67,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,fail
PAY_1760533754712,599.55,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success
PAY_1760533754713,495.4,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1760533754714,405.21,['CARD'],['VISA'],success,success,success,success,success,fail
