paymentId,amount,payment_method_type,payment_method,Stripe_VISA_outcome,Stripe_MASTERCARD_outcome,Adyen_VISA_outcome,Adyen_MASTERCARD_outcome,Adyen_ACCEL_outcome,Adyen_STAR_outcome,Checkout_VISA_outcome,Checkout_MASTERCARD_outcome,Checkout_ACCEL_outcome,Checkout_STAR_outcome
PAY_1761195958732,500.99,['CARD'],['VISA'],success,success,success,success,success,success,success,success,fail,success
PAY_1761195958733,891.0,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958734,925.79,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958735,989.25,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958737,428.53,['CARD'],['MASTERCARD'],success,success,success,success,success,fail,success,success,success,success
PAY_1761195958738,784.53,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958739,591.71,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,fail,success,success,success
PAY_1761195958741,902.34,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958742,324.17,['CARD'],['MASTERCARD'],success,success,success,fail,success,success,success,success,success,success
PAY_1761195958743,448.17,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success,success,success,success,success
PAY_1761195958745,978.94,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958746,117.07,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958747,983.97,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958748,936.41,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958750,92.85,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success,success,success,fail,success
PAY_1761195958751,528.44,['CARD'],['VISA'],success,success,success,fail,success,success,success,success,success,success
PAY_1761195958752,383.98,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958754,623.84,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,fail
PAY_1761195958755,566.26,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958756,878.22,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958758,991.13,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958759,867.2,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958760,508.46,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958761,230.91,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,fail,success
PAY_1761195958763,691.21,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958764,643.01,['CARD'],['MASTERCARD'],fail,success,success,success,success,success,success,success,success,success
PAY_1761195958765,666.17,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958767,824.63,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958768,270.1,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958769,327.72,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,fail,success,success,success,success
PAY_1761195958770,583.08,['CARD'],['VISA'],fail,success,success,success,success,success,success,success,fail,success
PAY_1761195958772,386.88,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",fail,success,success,success,success,success,success,success,success,success
PAY_1761195958773,838.25,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,fail,success,success,success,success,success
PAY_1761195958774,106.62,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958775,566.42,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958777,823.16,['CARD'],['MASTERCARD'],success,success,success,success,success,success,fail,success,success,success
PAY_1761195958778,977.3,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958779,733.54,['CARD'],['VISA'],success,success,success,success,fail,success,success,success,success,success
PAY_1761195958781,724.03,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958782,676.93,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958783,546.16,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,fail,success,success,success,fail,success
PAY_1761195958784,417.33,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958786,730.63,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958787,147.49,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958788,675.78,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,fail,success,success,success
PAY_1761195958790,233.48,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958791,842.42,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958792,901.69,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,fail,success,success,success,success,success,success
PAY_1761195958793,541.26,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958795,8.08,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958796,189.05,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958797,192.86,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,fail,success
PAY_1761195958799,584.16,['CARD'],['MASTERCARD'],success,success,fail,success,success,fail,success,success,success,success
PAY_1761195958800,208.42,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958801,816.32,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958802,603.13,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958804,981.65,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958805,113.71,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958806,166.42,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958808,982.54,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958809,419.27,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958810,544.9,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958812,682.22,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958813,85.68,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958814,966.95,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,fail,success,success,success,success,success,success
PAY_1761195958815,526.52,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958817,912.11,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,fail
PAY_1761195958818,108.44,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958819,148.61,['CARD'],['VISA'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958821,264.86,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958822,33.63,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958823,791.7,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761195958825,104.42,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,fail
PAY_1761195958826,552.58,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761195958827,813.45,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,fail,success
